City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ginda,30.6945,78.4932,19.76,25,76,3.35,IN,1680069772
84,port elizabeth,-33.918,25.5701,18.51,72,0,8.23,ZA,1680069502
85,astoria,46.1879,-123.8313,6.03,93,100,0.89,US,1680069772
86,bathsheba,13.2167,-59.5167,24.8,67,94,8.27,BB,1680069674
87,tasiilaq,65.6145,-37.6368,-18.08,61,2,3.52,GL,1680069577
88,senneterre,48.3835,-77.2328,-4.61,97,75,1.97,CA,1680069737
89,hasaki,35.7333,140.8333,15.22,80,100,5.85,JP,1680069678
90,new norfolk,-42.7826,147.0587,17.73,72,96,0.89,AU,1680069570
91,chenghai,23.4632,116.768,20.66,67,57,5.56,CN,1680069773
92,ukiah,39.1502,-123.2078,6.94,91,100,0.45,US,1680069564
93,cidreira,-30.1811,-50.2056,21.84,90,2,6.36,BR,1680069533
94,sungaipenuh,-2.0833,101.3833,24.51,73,88,1.42,ID,1680069773
95,coquimbo,-29.9533,-71.3436,17.05,83,0,4.5,CL,1680069617
96,tomatlan,19.9333,-105.25,18.23,85,4,1.03,MX,1680069582
97,lebu,-37.6167,-73.65,10.82,80,14,2.04,CL,1680069288
98,gizo,-8.103,156.8419,28.21,77,98,3.43,SB,1680069774
99,bambous virieux,-20.3428,57.7575,29.01,69,64,4.72,MU,1680069692
100,isla mujeres,21.2311,-86.731,22.87,81,17,4.5,MX,1680069774
101,myitkyina,25.3833,97.4,33.75,23,1,0.64,MM,1680069774
102,penzance,50.1186,-5.5371,11.38,98,100,9.9,GB,1680069774
103,winnemucca,40.973,-117.7357,1.03,86,100,2.57,US,1680069774
104,khatanga,71.9667,102.5,-18.58,89,100,5.29,RU,1680069572
105,carnarvon,-24.8667,113.6333,26.31,67,94,5.89,AU,1680069560
106,kelvington,52.1667,-103.5343,-23.64,100,57,2.03,CA,1680069775
107,prado,-17.3411,-39.2208,23.42,82,12,1.02,BR,1680069534
108,yulara,-25.2406,130.9889,31.46,32,90,4.67,AU,1680069659
109,avarua,-21.2078,-159.775,27.03,83,75,2.06,CK,1680069630
110,hobyo,5.3505,48.5268,29.13,60,8,4.68,SO,1680069776
111,cape town,-33.9258,18.4232,16.73,67,89,2.68,ZA,1680069601
112,castro,-24.7911,-50.0119,15.81,98,36,1.57,BR,1680069583
113,valdosta,30.8327,-83.2785,17.24,98,95,0.45,US,1680069607
114,bandarbeyla,9.4942,50.8122,28.87,63,81,3.9,SO,1680069654
115,chuy,-33.6971,-53.4616,19.18,95,0,3.56,UY,1680069580
116,darhan,49.4867,105.9228,10.12,34,53,0.11,MN,1680069777
117,pyinmana,19.7333,96.2167,37.29,22,78,2.5,MM,1680069777
118,axim,4.8699,-2.2405,26.39,86,21,2.52,GH,1680069591
119,beloha,-25.1667,45.05,22.41,55,0,4.65,MG,1680069777
120,mayuge,0.4597,33.4803,21.2,79,75,1.01,UG,1680069777
121,huarmey,-10.0681,-78.1522,24.99,78,98,2.98,PE,1680069730
122,maldonado,-34.6667,-54.9167,20.13,87,0,4.48,UY,1680069778
123,balkhash,46.844,74.9804,15.34,33,0,8.0,KZ,1680069661
124,bulungu,-4.55,18.6,22.2,93,60,1.07,CD,1680069778
125,alyangula,-13.8483,136.4192,30.1,61,49,2.77,AU,1680069677
126,yellowknife,62.456,-114.3525,-9.71,85,75,0.0,CA,1680069297
127,sao filipe,14.8961,-24.4956,24.06,69,4,3.71,CV,1680069778
128,los llanos de aridane,28.6585,-17.9182,16.86,72,0,3.6,ES,1680069778
129,komsomolskiy,40.4272,71.7189,22.4,28,91,1.03,UZ,1680069668
130,healdsburg,38.6105,-122.8692,8.42,83,100,3.6,US,1680069779
131,berlevag,70.8578,29.0864,-4.03,80,75,3.6,NO,1680069674
132,byron bay,-28.65,153.6167,22.62,89,100,5.85,AU,1680069585
133,kommunisticheskiy,61.6789,64.4819,-5.5,81,24,3.9,RU,1680069779
134,kizlyar,43.8469,46.715,13.75,60,0,2.8,RU,1680069779
135,pangody,65.85,74.4859,-15.49,87,40,3.16,RU,1680069700
136,rujiena,57.8975,25.3316,-1.64,68,100,4.43,LV,1680069780
137,saldanha,-33.0117,17.9442,11.03,70,63,6.76,ZA,1680069579
138,san carlos de bariloche,-41.1456,-71.3082,0.42,87,28,4.99,AR,1680069780
139,uyemskiy,64.4743,40.8524,-3.97,53,20,6.0,RU,1680069780
140,neyshabur,36.2133,58.7958,14.16,55,1,1.91,IR,1680069615
141,pangnirtung,66.1451,-65.7125,-13.44,97,100,1.61,CA,1680069780
142,leon valley,29.4952,-98.6186,14.13,60,75,2.57,US,1680069781
143,coihaique,-45.5752,-72.0662,1.34,86,0,1.03,CL,1680069533
144,avera,33.194,-82.5271,13.73,66,95,5.1,US,1680069781
145,tezu,27.9167,96.1667,27.61,37,96,1.19,IN,1680069657
146,noratus,40.3755,45.1772,8.25,47,0,6.8,AM,1680069782
147,luwuk,-0.9516,122.7875,26.93,80,100,0.13,ID,1680069782
148,kavieng,-2.5744,150.7967,28.72,71,70,2.27,PG,1680069590
149,san andres,12.5847,-81.7006,27.01,69,20,5.14,CO,1680069587
150,havoysund,70.9963,24.6622,-1.87,73,53,3.51,NO,1680069720
151,mao,39.8885,4.2658,11.31,87,20,3.6,ES,1680069783
152,saint-joseph,-21.3667,55.6167,27.48,62,57,3.2,RE,1680069598
153,hambantota,6.1241,81.1185,32.19,70,40,1.54,LK,1680069659
154,baykit,61.67,96.37,-4.15,95,100,1.87,RU,1680069784
155,vardo,70.3705,31.1107,-3.01,63,100,2.06,NO,1680069566
156,hithadhoo,-0.6,73.0833,28.19,75,27,3.53,MV,1680069589
157,skibbereen,51.55,-9.2667,11.73,98,96,9.83,IE,1680069786
158,bridgton,44.0548,-70.7128,-0.36,82,53,1.2,US,1680069787
159,iqaluit,63.7506,-68.5145,-14.15,77,100,7.72,CA,1680069565
160,san patricio,28.017,-97.5169,18.81,52,100,5.01,US,1680069658
161,caravelas,-17.7125,-39.2481,23.39,82,5,1.21,BR,1680069636
162,karratha,-20.7377,116.8463,29.39,65,100,5.95,AU,1680069788
163,volchikha,52.0333,80.3833,8.14,79,2,3.87,RU,1680069789
164,norrtalje,59.758,18.705,-3.88,85,33,1.66,SE,1680069789
165,trairi,-3.2778,-39.2689,22.67,94,60,1.63,BR,1680069725
166,ostrovnoy,68.0531,39.5131,-5.6,94,98,3.14,RU,1680069706
167,traverse city,44.7631,-85.6206,0.06,72,72,0.45,US,1680069495
168,auki,-8.7676,160.7034,27.37,83,95,0.87,SB,1680069575
169,teya,60.3778,92.6267,2.68,99,100,7.68,RU,1680069791
170,mayachnyy,52.6839,55.685,4.57,88,100,6.57,RU,1680069791
171,ormara,25.2088,64.6357,25.4,68,2,5.51,PK,1680069791
172,yashkul,46.1711,45.3435,13.86,54,98,5.36,RU,1680069792
173,tura,25.5198,90.2201,29.75,37,55,3.07,IN,1680069566
174,mar del plata,-38.0023,-57.5575,22.27,69,0,7.2,AR,1680069454
175,cayenne,4.9333,-52.3333,23.02,94,75,1.03,GF,1680069693
176,port lincoln,-34.7333,135.8667,18.44,64,76,5.78,AU,1680069592
177,port alfred,-33.5906,26.891,18.43,77,61,3.58,ZA,1680069579
178,nanortalik,60.1432,-45.2371,-5.72,80,30,2.38,GL,1680069662
179,murray bridge,-35.1167,139.2667,18.52,53,74,7.38,AU,1680069793
180,bethel,41.3712,-73.414,3.6,69,52,0.45,US,1680069561
181,mahanoro,-19.9,48.8,23.53,91,100,3.27,MG,1680069794
182,ararangua,-28.9347,-49.4858,18.66,94,29,1.7,BR,1680069794
183,loukhi,66.0764,33.0381,-5.67,93,100,7.02,RU,1680069794
184,mehamn,71.0357,27.8492,-4.05,80,0,3.09,NO,1680069578
185,la ronge,55.1001,-105.2842,-15.86,55,40,2.06,CA,1680069563
186,sitka,57.0531,-135.33,4.94,65,100,6.17,US,1680069651
187,wajima,37.4,136.9,10.08,53,1,3.3,JP,1680069795
188,longyearbyen,78.2186,15.6401,-15.09,85,75,6.69,SJ,1680069583
189,cabedelo,-6.9811,-34.8339,25.51,85,22,3.66,BR,1680069796
190,lata,40.1629,-8.3327,11.15,66,19,1.7,PT,1680069598
191,dongsheng,39.8161,109.9776,14.5,9,8,2.43,CN,1680069796
192,luanda,-8.8368,13.2343,24.0,94,75,2.06,AO,1680069426
193,dabakala,8.3667,-4.4333,24.8,77,82,1.57,CI,1680069798
194,santa cruz cabralia,-16.2781,-39.0247,25.13,78,20,1.03,BR,1680069763
195,tuatapere,-46.1333,167.6833,10.81,60,7,3.76,NZ,1680069563
196,bredasdorp,-34.5322,20.0403,15.38,68,90,3.27,ZA,1680069571
197,pisco,-13.7,-76.2167,21.68,86,85,1.07,PE,1680069639
198,goderich,43.7501,-81.7165,3.84,86,35,4.65,CA,1680069719
199,akdepe,42.0551,59.3788,22.95,31,34,4.24,TM,1680069802
200,mamallapuram,12.6264,80.1722,32.03,60,52,5.51,IN,1680069802
201,vila franca do campo,37.7167,-25.4333,16.23,82,9,9.2,PT,1680069721
202,tiksi,71.6872,128.8694,-21.85,88,99,5.76,RU,1680069634
203,jamestown,42.097,-79.2353,0.95,88,72,0.45,US,1680069558
204,lucapa,-8.4192,20.7447,18.41,98,100,1.22,AO,1680069804
205,georgetown,5.4112,100.3354,30.96,70,40,4.63,MY,1680069697
206,kapaa,22.0752,-159.319,23.99,90,100,1.34,US,1680069560
207,lagoa,39.05,-27.9833,13.63,75,22,14.76,PT,1680069640
208,autun,46.95,4.3,6.32,62,100,1.27,FR,1680069805
209,mahebourg,-20.4081,57.7,29.03,69,40,3.6,MU,1680069594
210,sapele,5.8941,5.6767,25.16,84,100,0.76,NG,1680069805
211,torbay,47.6666,-52.7314,-0.24,92,100,1.79,CA,1680069632
212,olinda,-8.0089,-34.8553,26.85,78,75,6.17,BR,1680069590
213,severo-kurilsk,50.6789,156.125,-0.15,73,17,5.22,RU,1680069643
214,victoria,22.2855,114.1577,23.31,80,99,4.92,HK,1680069421
215,thompson,55.7435,-97.8558,-13.91,78,100,4.12,CA,1680069594
216,owando,-0.4819,15.8999,21.35,96,100,1.85,CG,1680069808
217,quelimane,-17.8786,36.8883,24.39,81,100,1.6,MZ,1680069808
218,boralday,43.3578,76.8594,16.92,31,40,2.0,KZ,1680069808
219,tukrah,32.5341,20.5791,13.63,57,3,8.99,LY,1680069809
220,singaparna,-7.3515,108.111,28.89,73,77,0.23,ID,1680069809
221,mayumba,-3.432,10.6554,25.16,87,100,1.99,GA,1680069809
222,flinders,-34.5833,150.8552,27.43,58,22,4.92,AU,1680069659
223,vestmannaeyjar,63.4427,-20.2734,3.48,88,98,18.4,IS,1680069810
224,mufumbwe,-13.6833,24.8,18.94,93,82,2.85,ZM,1680069810
225,ilulissat,69.2167,-51.1,-28.12,85,4,2.25,GL,1680069591
226,cabo san lucas,22.8909,-109.9124,21.4,59,99,1.96,MX,1680069473
227,weligama,5.9667,80.4167,30.23,64,65,2.63,LK,1680069811
228,sola,-13.8833,167.55,27.26,75,73,1.04,VU,1680069639
229,wainwright,52.839,-110.8572,-11.01,94,100,3.39,CA,1680069656
230,arraial do cabo,-22.9661,-42.0278,24.6,81,100,3.49,BR,1680069581
231,rabo de peixe,37.8,-25.5833,15.73,72,20,9.26,PT,1680069813
232,liverpool,53.4106,-2.9779,10.97,91,0,4.12,GB,1680069713
233,nanyamba,-10.6833,39.8333,23.8,90,100,2.0,TZ,1680069813
234,provideniya,64.3833,-173.3,-3.94,86,100,10.0,RU,1680069560
235,laela,-8.5667,32.05,16.4,96,90,0.66,TZ,1680069814
236,stromness,58.965,-3.296,6.98,90,100,6.71,GB,1680069814
237,mareeba,-17.0,145.4333,29.16,59,5,2.93,AU,1680069814
238,zeya,53.75,127.2667,0.6,98,100,3.74,RU,1680069814
239,bilibino,68.0546,166.4372,-14.89,90,6,1.0,RU,1680069592
240,pierre,44.3683,-100.351,-6.75,66,100,2.24,US,1680069718
241,geraldton,-28.7667,114.6,32.23,51,40,7.2,AU,1680069637
242,soyo,-6.1349,12.3689,24.95,87,100,2.05,AO,1680069816
243,jumla,29.2747,82.1838,16.02,26,22,2.48,NP,1680069816
244,paita,-5.0892,-81.1144,26.2,80,99,4.02,PE,1680069586
245,mecca,21.4267,39.8261,27.15,25,0,1.0,SA,1680069778
246,ballarat,-37.5662,143.8496,14.21,67,86,2.24,AU,1680069817
247,kutum,14.2,24.6667,20.76,13,27,3.44,SD,1680069733
248,dongling,41.8144,123.5758,17.05,25,33,5.86,CN,1680069819
249,opuwo,-18.0607,13.84,20.13,70,60,0.41,NA,1680069728
250,kilakarai,9.2333,78.7833,31.62,55,63,3.07,IN,1680069819
251,ramenskoye,55.5669,38.2303,7.41,70,0,7.15,RU,1680069820
252,amahai,-3.3333,128.9167,26.95,84,100,3.18,ID,1680069820
253,belmonte,-15.8631,-38.8828,23.84,80,58,1.19,BR,1680069724
254,port hardy,50.6996,-127.4199,8.0,80,0,2.06,CA,1680069575
255,tsiroanomandidy,-18.7667,46.0333,22.85,76,82,3.45,MG,1680069584
256,mount gambier,-37.8333,140.7667,16.52,57,66,4.46,AU,1680069820
257,san francisco,37.7749,-122.4194,8.79,89,69,2.68,US,1680069601
258,cochabamba,-17.3895,-66.1568,14.0,10,99,1.32,BO,1680069821
259,kaeo,-35.1,173.7833,15.74,58,1,4.87,NZ,1680069821
260,san vicente,-26.6167,-54.1333,20.38,88,31,1.43,AR,1680069822
261,nome,64.5011,-165.4064,-9.35,90,100,6.55,US,1680069822
262,tommot,58.9564,126.2925,-3.53,95,100,5.46,RU,1680069822
263,klaksvik,62.2266,-6.589,4.51,75,100,14.08,FO,1680069719
264,ovsyanka,55.9575,92.5519,13.54,70,97,5.48,RU,1680069823
265,cuiluan,47.72,128.648,13.91,34,28,6.65,CN,1680069823
266,jutai,-5.1833,-68.9,21.98,99,78,0.81,BR,1680069823
267,zhezkazgan,47.8043,67.7144,11.99,43,0,4.0,KZ,1680069679
268,vrangel,42.7297,133.0839,5.74,71,0,2.4,RU,1680069823
269,kamaishi,39.2667,141.8833,9.44,66,54,2.59,JP,1680069823
270,faanui,-16.4833,-151.75,28.07,74,55,4.68,PF,1680069580
271,vanavara,60.34,102.2797,-1.09,96,100,3.49,RU,1680069824
272,cherskiy,68.75,161.3,-8.71,88,100,3.89,RU,1680069580
273,severobaykalsk,55.65,109.3167,-4.2,92,100,0.93,RU,1680069824
274,buala,-8.145,159.5921,27.91,79,93,1.63,SB,1680069824
275,havelock,34.8791,-76.9013,12.99,92,100,9.26,US,1680069824
276,najran,17.4924,44.1277,22.17,53,99,6.53,SA,1680069664
277,kedrovyy,56.1667,91.8167,12.23,78,91,5.12,RU,1680069824
278,oda,35.1833,132.5,13.46,51,36,4.39,JP,1680069825
279,acapulco,16.8634,-99.8901,24.9,78,0,1.54,MX,1680069825
280,poum,-20.2333,164.0167,26.65,75,99,3.16,NC,1680069825
